name,addr_pin,addr_longi,addr_lati
1703 Valley Rd_2b1b,"1703 Valley Rd, Champaign, IL 61820",40.09687,-88.2494
1622 Valley Rd_2b1.5b,"1622 Valley Rd, Champaign, IL 61820",40.09776,-88.24937
1609 Valley Rd_2b1b,"1609 Valley Rd, Champaign, IL 61820",40.09789,-88.24953
1720 Valley Rd_2b1.5b,"1720 Valley Rd, Champaign, IL 61820",40.09667,-88.24928
1605 Valley Rd_2b1b,"1605 Valley Rd, Champaign, IL 61820",40.09792,-88.24954
1735 Valley Rd_2b1b,"1735 Valley Rd, Champaign, IL 61820",40.09651,-88.2494
1650 Valley Rd_2b1.5b,"1650 Valley Rd, Champaign, IL 61820",40.09745,-88.2493
1609 Valley Rd_2b1b,"1609 Valley Rd, Champaign, IL 61820",40.09789,-88.24953
1613 Valley Rd_2b1b,"1613 Valley Rd, Champaign, IL 61820",40.09785,-88.24952
1718 Valley Rd_2b1.5b,"1718 Valley Rd, Champaign, IL 61820",40.09669,-88.24928
1656 Valley Rd_2b1.5b,"1656 Valley Rd, Champaign, IL 61820",40.09738,-88.24929
1732 Valley Rd_2b1.5b,"1732 Valley Rd, Champaign, IL 61820",40.09654,-88.24928
1711 Valley Rd_2b1b,"1711 Valley Rd, Champaign, IL 61820",40.09678,-88.2494
1701 Valley Rd_2b1b,"1701 Valley Rd, Champaign, IL 61820",40.09689,-88.2494
56 E Healey St_1b1b,"56 E Healey St, Champaign, IL 61820",40.11176,-88.23931
308 1/2 E Clark St_4b2.5b,"308 1/2 E Clark St, Champaign, IL 61820",40.11565,-88.23439
305 E White St_3b1b,"305 E White St, Champaign, IL 61820",40.11414,-88.23469
308 1/2 E Clark St_8b5b,"308 1/2 E Clark St, Champaign, IL 61820",40.11565,-88.23439
2600 W John St_3b2b,"2600 W John St, Champaign, IL 61821",40.10985,-88.2891
1507 Harrington Dr_3b2b,"1507 Harrington Dr, Champaign, IL 61821",40.0867,-88.27023
2001 S Mattis Ave_2b1b,"2001 S Mattis Ave, Champaign, IL 61821",40.09054,-88.2769
1807 Lynwood_2b1b,"1807 Lynwood Dr, Champaign, IL 61821",40.09349,-88.26028
305 S Prairie St_4b2b,"305 S Prairie St, Champaign, IL 61820",40.11381,-88.2488
310 W Washington St_2b1b,"310 W Washington St, Champaign, IL 61820",40.12047,-88.24801
811 Ventura Rd_3b2b,"811 Ventura Rd, Champaign, IL 61820",40.09652,-88.25706
210 Brookwood Dr_2b1b,"210 Brookwood Dr, Champaign, IL 61820",40.13066,-88.24607
5 Villard Ct_2b1b,"5 Villard Ct, Champaign, IL 61820",40.10836,-88.24568
407 W White_2b1b,"407 W White St, Champaign, IL 61820",40.11382,-88.24939
301 S Garfield Ave_3b1b,"301 S Garfield Ave, Champaign, IL 61821",40.11437,-88.26947
1212 Centennial Dr_3b1b,"1212 Centennial Dr, Champaign, IL 61821",40.10177,-88.29052
906 N Willis Ave_3b1b,"906 N Willis Ave, Champaign, IL 61821",40.12505,-88.25984
303 S 5th St_4b4b,"303 S 5th St, Champaign, IL 61820",40.11419,-88.23246
314 E Clark St_3b3b,"314 E Clark St, Champaign, IL 61820",40.11556,-88.23385
Lincolnshire Townhomes_2b1b,"1406-1521 Lincolnshire Dr, Champaign, IL 61821",40.09748,-88.26984
48 E John St_4b2b,"48 E John St, Champaign, IL 61820",40.1093,-88.23995
Burnham310_3b3b,"310 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23474
606 E White St_3b3b,"606 E White St, Champaign, IL 61820",40.11476,-88.22968
Campus Center_4b1b,"601 S 6th St, Champaign, IL 61820",40.11127,-88.23071
106 E Armory Ave_4b3b,"106 E Armory Ave, Champaign, IL 61820",40.10565,-88.23796
51 E Green St_2b1b,"51 E Green St, Champaign, IL 61820",40.10993,-88.23991
Champaign House_3b1.5b,"1507-1517 Kirby Ave, Champaign, IL 61821",40.09775,-88.27157
The Tower at 3rd_2b1b,"302 E John St, Champaign, IL 61820",40.10934,-88.2349
UIUC Campustown - 515 Bash_3b1.5b,"515 Bash Ct, Champaign, IL 61820",40.11206,-88.23098
Lando Place_2b1b,"707 S 6th St, Champaign, IL 61820",40.10973,-88.23063
208-210 E White St_3b1b,"208-210 E White St, Champaign, IL 61820",40.11469,-88.23607
HERE Apartments_4b4b,"308 E Green St, Champaign, IL 61820",40.11044,-88.23386
Douglass Square Apartments_1b1b,"414 Nathaniel Burch Dr, Champaign, IL 61820",40.12818,-88.23254
808 S Oak St_4b2b,"808 S Oak St, Champaign, IL 61820",40.10851,-88.24115
205 S 6th St_4b2b,"205 S 6th St, Champaign, IL 61820",40.11473,-88.23064
Midway_3b1b,"901 S 4th St, Champaign, IL 61820",40.10773,-88.23376
Illini Manor_1b1b,"401 E Chalmers St, Champaign, IL 61820",40.10663,-88.23306
107 E Springfield Ave_4b2b,"107 E Springfield Ave, Champaign, IL 61820",40.11233,-88.23777
408 E Healey St_4b2b,"408 E Healey St, Champaign, IL 61820",40.11165,-88.2331
Skylight Court_3b2b,"410 E Green St, Champaign, IL 61820",40.11063,-88.23232
309 Green_4b2b,"309 E Green St, Champaign, IL 61820",40.10997,-88.23433
Park Place Tower_4b2.5b,"202 E Green St, Champaign, IL 61820",40.11074,-88.23666
1107 S 2nd St_4b2b,"1107 S 2nd St, Champaign, IL 61820",40.10459,-88.23785
316 Cedar_2b1b,"316 Cedar St, Champaign, IL 61820",40.0992,-88.2484
503 E Springfield_2b2b,"503 W Springfield Ave, Champaign, IL 61820",40.1124,-88.25058
202 E Chalmers St_4b3b,"202 E Chalmers St, Champaign, IL 61820",40.10701,-88.23683
Armory Place_4b2b,"52 E Armory Ave, Champaign, IL 61820",40.1059,-88.23979
57 E Chalmers St_4b2b,"57 E Chalmers St, Champaign, IL 61820",40.10607,-88.23947
213 W Green St_2b2b,"213 W Green St, Champaign, IL 61820",40.10994,-88.24655
903-909 S Locust St_4b2b,"903-909 S Locust St, Champaign, IL 61820",40.10754,-88.24067
UIUC Campustown - 309 Daniel_4b1b,"309-311 E Daniel St, Champaign, IL 61820",40.1077,-88.23425
505 E Healey St_5b2b,"505 E Healey St, Champaign, IL 61820",40.11115,-88.23138
Green Street Towers_4b4b,"616 E Green St, Champaign, IL 61820",40.11048,-88.22954
507 E Clark St_1b1b,"507 E Clark St, Champaign, IL 61820",40.11518,-88.23115
